mics	hemisphere	network	label	network_int	salience_border	t1_gradient1_SalVentAttn	T1map
1196.0	LH	Default	7Networks_LH_Default_pCunPCC_7	1.0	1.0		
1067.0	LH	SomMot	7Networks_LH_SomMot_36	5.0	1.0		
1047.0	LH	SomMot	7Networks_LH_SomMot_16	5.0	1.0		
1188.0	LH	Default	7Networks_LH_Default_PFC_23	1.0	1.0		
1024.0	LH	Vis	7Networks_LH_Vis_24	6.0	1.0		
1129.0	LH	Cont	7Networks_LH_Cont_Par_3	0.0	1.0		
1137.0	LH	Cont	7Networks_LH_Cont_PFCl_3	0.0	1.0		
1000.0		medial_wall	medial_wall	7.0	1.0		
1004.0	LH	Vis	7Networks_LH_Vis_4	6.0	1.0		
1133.0	LH	Cont	7Networks_LH_Cont_Temp_1	0.0	1.0		
1036.0	LH	SomMot	7Networks_LH_SomMot_5	5.0	1.0		
1125.0	LH	Limbic	7Networks_LH_Limbic_TempPole_7	3.0	1.0		
1196.0	LH	Default	7Networks_LH_Default_pCunPCC_7	1.0	1.0		
1196.0	LH	Default	7Networks_LH_Default_pCunPCC_7	1.0	1.0		
1196.0	LH	Default	7Networks_LH_Default_pCunPCC_7	1.0	1.0		
1196.0	LH	Default	7Networks_LH_Default_pCunPCC_7	1.0	1.0		
1193.0	LH	Default	7Networks_LH_Default_pCunPCC_4	1.0	1.0		
1193.0	LH	Default	7Networks_LH_Default_pCunPCC_4	1.0	1.0		
1193.0	LH	Default	7Networks_LH_Default_pCunPCC_4	1.0	1.0		
1193.0	LH	Default	7Networks_LH_Default_pCunPCC_4	1.0	1.0		
1193.0	LH	Default	7Networks_LH_Default_pCunPCC_4	1.0	1.0		
1193.0	LH	Default	7Networks_LH_Default_pCunPCC_4	1.0	1.0		
1193.0	LH	Default	7Networks_LH_Default_pCunPCC_4	1.0	1.0		
1193.0	LH	Default	7Networks_LH_Default_pCunPCC_4	1.0	1.0		
1193.0	LH	Default	7Networks_LH_Default_pCunPCC_4	1.0	1.0		
1147.0	LH	Cont	7Networks_LH_Cont_Cing_2	0.0	1.0		
1147.0	LH	Cont	7Networks_LH_Cont_Cing_2	0.0	1.0		
1000.0		medial_wall	medial_wall	7.0	1.0		
1000.0		medial_wall	medial_wall	7.0	1.0		
1000.0		medial_wall	medial_wall	7.0	1.0		
1000.0		medial_wall	medial_wall	7.0	1.0		
1000.0		medial_wall	medial_wall	7.0	1.0		
1000.0		medial_wall	medial_wall	7.0	1.0		
1000.0		medial_wall	medial_wall	7.0	1.0		
1000.0		medial_wall	medial_wall	7.0	1.0		
