mics	hemisphere	network	label	t1_gradient1_SalVentAttn	T1map
1047.0	LH	SomMot	7Networks_LH_SomMot_16		
1067.0	LH	SomMot	7Networks_LH_SomMot_36		
1196.0	LH	Default	7Networks_LH_Default_pCunPCC_7		
1188.0	LH	Default	7Networks_LH_Default_PFC_23		
1129.0	LH	Cont	7Networks_LH_Cont_Par_3		
1024.0	LH	Vis	7Networks_LH_Vis_24		
1000.0		medial_wall	medial_wall		
1137.0	LH	Cont	7Networks_LH_Cont_PFCl_3		
1036.0	LH	SomMot	7Networks_LH_SomMot_5		
1133.0	LH	Cont	7Networks_LH_Cont_Temp_1		
1004.0	LH	Vis	7Networks_LH_Vis_4		
1125.0	LH	Limbic	7Networks_LH_Limbic_TempPole_7		
1047.0	LH	SomMot	7Networks_LH_SomMot_16		
1091.0	LH	DorsAttn	7Networks_LH_DorsAttn_PrCv_2		
1091.0	LH	DorsAttn	7Networks_LH_DorsAttn_PrCv_2		
1091.0	LH	DorsAttn	7Networks_LH_DorsAttn_PrCv_2		
1091.0	LH	DorsAttn	7Networks_LH_DorsAttn_PrCv_2		
1141.0	LH	Cont	7Networks_LH_Cont_PFCl_7		
1141.0	LH	Cont	7Networks_LH_Cont_PFCl_7		
1141.0	LH	Cont	7Networks_LH_Cont_PFCl_7		
1141.0	LH	Cont	7Networks_LH_Cont_PFCl_7		
1140.0	LH	Cont	7Networks_LH_Cont_PFCl_6		
1140.0	LH	Cont	7Networks_LH_Cont_PFCl_6		
1140.0	LH	Cont	7Networks_LH_Cont_PFCl_6		
1140.0	LH	Cont	7Networks_LH_Cont_PFCl_6		
1140.0	LH	Cont	7Networks_LH_Cont_PFCl_6		
1139.0	LH	Cont	7Networks_LH_Cont_PFCl_5		
1139.0	LH	Cont	7Networks_LH_Cont_PFCl_5		
1139.0	LH	Cont	7Networks_LH_Cont_PFCl_5		
1139.0	LH	Cont	7Networks_LH_Cont_PFCl_5		
1139.0	LH	Cont	7Networks_LH_Cont_PFCl_5		
1137.0	LH	Cont	7Networks_LH_Cont_PFCl_3		
1137.0	LH	Cont	7Networks_LH_Cont_PFCl_3		
1047.0	LH	SomMot	7Networks_LH_SomMot_16		
1047.0	LH	SomMot	7Networks_LH_SomMot_16		
1047.0	LH	SomMot	7Networks_LH_SomMot_16		
1043.0	LH	SomMot	7Networks_LH_SomMot_12		
1043.0	LH	SomMot	7Networks_LH_SomMot_12		
1043.0	LH	SomMot	7Networks_LH_SomMot_12		
1043.0	LH	SomMot	7Networks_LH_SomMot_12		
1043.0	LH	SomMot	7Networks_LH_SomMot_12		
1043.0	LH	SomMot	7Networks_LH_SomMot_12		
1043.0	LH	SomMot	7Networks_LH_SomMot_12		
1040.0	LH	SomMot	7Networks_LH_SomMot_9		
1040.0	LH	SomMot	7Networks_LH_SomMot_9		
1040.0	LH	SomMot	7Networks_LH_SomMot_9		
1040.0	LH	SomMot	7Networks_LH_SomMot_9		
1040.0	LH	SomMot	7Networks_LH_SomMot_9		
1039.0	LH	SomMot	7Networks_LH_SomMot_8		
1039.0	LH	SomMot	7Networks_LH_SomMot_8		
1039.0	LH	SomMot	7Networks_LH_SomMot_8		
1039.0	LH	SomMot	7Networks_LH_SomMot_8		
1036.0	LH	SomMot	7Networks_LH_SomMot_5		
1036.0	LH	SomMot	7Networks_LH_SomMot_5		
1137.0	LH	Cont	7Networks_LH_Cont_PFCl_3		
1137.0	LH	Cont	7Networks_LH_Cont_PFCl_3		
1136.0	LH	Cont	7Networks_LH_Cont_PFCl_2		
1136.0	LH	Cont	7Networks_LH_Cont_PFCl_2		
1136.0	LH	Cont	7Networks_LH_Cont_PFCl_2		
1136.0	LH	Cont	7Networks_LH_Cont_PFCl_2		
1175.0	LH	Default	7Networks_LH_Default_PFC_10		
1175.0	LH	Default	7Networks_LH_Default_PFC_10		
1175.0	LH	Default	7Networks_LH_Default_PFC_10		
1175.0	LH	Default	7Networks_LH_Default_PFC_10		
1175.0	LH	Default	7Networks_LH_Default_PFC_10		
1103.0	LH	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_7	0.8313083161689013	0.54185015
1103.0	LH	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_7	0.9690922982335866	1.5270272
1102.0	LH	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_6	1.08803691565182	1.7284597
1102.0	LH	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_6	1.4465886258729341	1.312855
1035.0	LH	SomMot	7Networks_LH_SomMot_4		
1035.0	LH	SomMot	7Networks_LH_SomMot_4		
1035.0	LH	SomMot	7Networks_LH_SomMot_4		
1035.0	LH	SomMot	7Networks_LH_SomMot_4		
1035.0	LH	SomMot	7Networks_LH_SomMot_4		
1036.0	LH	SomMot	7Networks_LH_SomMot_5		
1047.0	LH	SomMot	7Networks_LH_SomMot_16		
1091.0	LH	DorsAttn	7Networks_LH_DorsAttn_PrCv_2		
1091.0	LH	DorsAttn	7Networks_LH_DorsAttn_PrCv_2		
1091.0	LH	DorsAttn	7Networks_LH_DorsAttn_PrCv_2		
1091.0	LH	DorsAttn	7Networks_LH_DorsAttn_PrCv_2		
1141.0	LH	Cont	7Networks_LH_Cont_PFCl_7		
1141.0	LH	Cont	7Networks_LH_Cont_PFCl_7		
1141.0	LH	Cont	7Networks_LH_Cont_PFCl_7		
1141.0	LH	Cont	7Networks_LH_Cont_PFCl_7		
1140.0	LH	Cont	7Networks_LH_Cont_PFCl_6		
1140.0	LH	Cont	7Networks_LH_Cont_PFCl_6		
